Date,Close,tby,ffr,fta,eps,vix
2021-01-29,3714.24,1.11,0.09,7404926.0,95.72,32.85
2021-01-28,3787.38,1.07,0.09,7404926.0,95.72,30.49
2021-01-27,3750.77,1.04,0.09,7404926.0,95.72,33.05
2021-01-26,3849.62,1.05,0.09,7414942.0,95.72,25.3
2021-01-25,3855.36,1.05,0.09,7414942.0,95.72,25.85
2021-01-22,3841.47,1.1,0.09,7414942.0,95.72,24.85
2021-01-21,3853.07,1.12,0.09,7414942.0,95.72,24.6
2021-01-20,3851.85,1.1,0.09,7414942.0,95.72,24.9
2021-01-19,3798.91,1.1,0.09,7333968.0,95.72,23.2
2021-01-15,3768.25,1.11,0.09,7333968.0,95.72,24.6
2021-01-14,3795.54,1.15,0.09,7333968.0,95.72,23.2
2021-01-13,3809.84,1.1,0.09,7333968.0,95.72,22.75
2021-01-12,3801.19,1.15,0.09,7334809.0,95.72,23.54
2021-01-11,3799.61,1.15,0.09,7334809.0,95.72,24.35
2021-01-08,3824.68,1.13,0.09,7334809.0,95.72,22.8
2021-01-07,3803.79,1.08,0.09,7334809.0,95.72,23.2
2021-01-06,3748.14,1.04,0.09,7334809.0,95.72,24.7
2021-01-05,3726.86,0.96,0.09,7363351.0,95.72,25.4
2021-01-04,3700.65,0.93,0.09,7363351.0,95.72,26.45
2020-12-31,3756.07,0.93,0.09,7363351.0,95.72,23.6
2020-12-30,3732.04,0.93,0.09,7363351.0,97.2,23.75
2020-12-29,3727.04,0.94,0.09,7404039.0,97.2,24.7
2020-12-28,3735.36,0.94,0.09,7404039.0,97.2,23.6
2020-12-24,3703.06,0.94,0.09,7404039.0,97.2,23.85
2020-12-23,3690.01,0.96,0.09,7404039.0,97.2,24.65
2020-12-22,3687.26,0.93,0.09,7362592.0,97.2,25.8
2020-12-21,3694.92,0.95,0.09,7362592.0,97.2,26.25
2020-12-18,3709.41,0.95,0.09,7362592.0,97.2,24.0
2020-12-17,3722.48,0.94,0.09,7362592.0,97.2,23.9
2020-12-16,3701.17,0.92,0.09,7362592.0,97.2,24.25
2020-12-15,3694.62,0.92,0.09,7242658.0,97.2,22.96
2020-12-14,3647.49,0.9,0.09,7242658.0,97.2,24.4
2020-12-11,3663.46,0.9,0.09,7242658.0,97.2,23.75
2020-12-10,3668.1,0.92,0.09,7242658.0,97.2,22.55
2020-12-09,3672.82,0.95,0.09,7242658.0,97.2,22.4
2020-12-08,3702.25,0.92,0.09,7222414.0,97.2,21.55
2020-12-07,3691.96,0.94,0.09,7222414.0,97.2,22.75
2020-12-04,3699.12,0.97,0.09,7222414.0,97.2,22.71
2020-12-03,3666.72,0.92,0.09,7222414.0,97.2,23.0
2020-12-02,3669.01,0.95,0.09,7222414.0,97.2,22.75
2020-12-01,3662.45,0.92,0.09,7216480.0,97.2,22.63
2020-11-30,3621.63,0.84,0.09,7216480.0,97.2,22.5
2020-11-27,3638.35,0.84,0.09,7216480.0,98.53,22.8
2020-11-25,3629.65,0.88,0.09,7216480.0,98.53,22.8
2020-11-24,3635.41,0.88,0.09,7243080.0,98.53,23.6
2020-11-23,3577.59,0.86,0.09,7243080.0,98.53,24.15
2020-11-20,3557.54,0.83,0.09,7243080.0,98.53,24.46
2020-11-19,3581.87,0.86,0.09,7243080.0,98.53,24.9
2020-11-18,3567.79,0.88,0.09,7243080.0,98.53,25.0
2020-11-17,3609.53,0.87,0.09,7175417.0,98.53,23.3
2020-11-16,3626.91,0.91,0.09,7175417.0,98.53,22.8
2020-11-13,3585.15,0.89,0.09,7175417.0,98.53,23.35
2020-11-12,3537.01,0.88,0.09,7175417.0,98.53,25.76
2020-11-10,3545.53,0.98,0.09,7157479.0,98.53,24.7
2020-11-09,3550.5,0.96,0.09,7157479.0,98.53,25.35
2020-11-06,3509.44,0.83,0.09,7157479.0,98.53,25.35
